A.R. shala,411004
Afmc,411040
Adhale Bk,410506
Adivare,410509
Agoti,413132
Airport,411032
Akurdi,411035
Ala,412411
Alande,412205
Alandi Chorachi,412201
Alandi Devachi,412105
Alegaon,412211
Alephata,412411
Ambade,412206
Ambale,410507
Ambarvet,411042
Ambavade,412206
Ambavane,410401
Ambegaon Bk,411046
Ambeghar,412206
Ambethan,410501
Ambi,410507
Amble,412211
Amboli,410505
Amdabad,412218
Ammunition Factory khadki,411003
Amondi,412408
Anandnagar,411051
Anantnagar Nigade,412205
Andgaon,411042
Andhalgaon,412211
Ane,412410
Anjanavale,410502
Anthurne,413114
Antroli,412212
Aptale,410502
Apti,412206
Armament,411021
Arvi,412401
Arvi(haveli),412205
Asane,410509
Ashtapur,412207
Audar,412404
Aundh,411007
Aundh Camp,411027
Aundh T.s.,411007
Avasari Bk,412406
Avhat,412402
Avsari Kh,412405
Babhurdi,412204
Bahul,410501
Bajirao Road,411002
Ballalwadi,410502
Baner Gaon,411045
Baner Road,411007
Baramati,413102
Baramati Midc,413133
Baramati West,413102
Barhanpur,413102
Bari Bk,412206
Bavdhan,411021
Bawada,413103
Bazarwadi,412206
Beam Wirelee station,413801
Bebedhol,410506
Belawade,412108
Belawadi,413104
Belha,412410
Belsar,412303
Bet Narayan maharaj,412203
Bhadas,412108
Bhamburde,412209
Bhandgaon,413103
Bhangarwadi,410401
Bhavani Peth,411042
Bhavaninagar,413104
Bhigwan,413130
Bhigwan R s,413105
Bhimashankar,410509
Bhivadi,412301
Bhivari,412301
Bhodani,413103
Bhondave Wadi,412204
Bhongavali,412205
Bhor,412206
Bhorghar,410509
Bhorgiri,412402
Bhosari I.e.,411026
Bhosarigoan,411039
Bhose,410501
Bhoyare,412106
Bhugaon,411042
Bhukum,411042
Bhusari Colony,411038
Bhutonde,412206
Bibi,410513
Bibvewadi,411037
Bijawadi,413106
Bopgaon,412301
Bori,413104
Bori Aindi,412202
Bori Bk,412411
Bori Paradhi,412203
Boribyal,413801
Botanical Garden,411003
Burunjwadi,412208
C D a (o),411001
C M e,411031
Chakan,410501
Chambli,412301
Chandkhed,410506
Chandoli Bk,410503
Charoli Bk,412105
Chas,410513
Chavand,410502
Chikhalgaon,412206
Chikhlee,412114
Chilewadi,412409
Chimbli,412105
Chinchani Camp,412211
Chincholi,412218
Chinchoshi,410505
Chinchwad East,411019
Chinchwadga0n,411019
Cod Dehu road,412101
Congress House road,411005
Dahitane,412207
Dalaj,413132
Dapode,412213
Dapodi,411001
Dapodi Bazar,411012
Daund,413801
Daund Bazar,413801
Daundaj,412305
Dawadi,410505
Dawanewadi,412311
Deccan Gymkhana,411004
Degaon,412213
Dehane,412402
Dehu,412109
Dehu Road cantt,412101
Delwadi,412214
Deulgaonraja,413801
Devale,410502
Dhakale,413110
Dhamane,410506
Dhamani,410508
Dhamari,412403
Dhangavadi,412205
Dhankawadi,411043
Dhanore,412208
Dhanori,411015
Dhayari,411041
Dhekalwadi,413104
Dholwad,412409
Dighi Camp,411015
Dimbhe Colony,410509
Dingore,412409
Diwa,412301
Donda,410505
Donje,411042
Dorlewadi,413102
Dr.B.a. chowk,411001
Dukirkline,411014
East Khadki,411003
Eklahare,412402
Ex. serviceman colony,411038
Film Institute,411004
Fulgaon,412216
Gadad,410501
Galandwadi,412203
Ganegaon Dumala,412211
Ganegaon Khalasa,412209
Ganeshkhind,411007
Gangapur Kh,410516
Garade,412301
Gawadewadi,412405
Ghodegaon,412408
Ghorpade Peth,411042
Ghorpuri Bazar,411001
Ghotavade,411042
Ghotawadi,410505
Ghotondi,413120
Girawali,412408
Girim,413801
Godre,410502
Gogalwadi(e),412205
Gohe Bk,410509
Gokhalenagar,411016
Golegaon,412210
Gopalwadi,413801
Govt. polytechnic,411016
Gulani,410505
Gulunche,412102
Gunawadi,413102
Gunjalwadi,412401
Gunjawane,412213
Gurholi,412104
